"","Home","X","Y","Visitor","Local"
"229","FLU",0,0,"BGT",0
"230","GRE",2,4,"FLA",1
"231","FOR",0,0,"COR",1
"232","BOT",0,1,"FLA",1
"233","SAN",2,2,"PAL",1
"234","FLU",3,1,"CAP",0
"235","BAH",0,2,"CEA",1
"236","CFC",0,0,"BGT",1
"237","SAO",1,0,"SPT",1
"238","GRE",4,0,"VAS",1
"239","CAM",2,2,"INT",1
"240","ACG",0,1,"GOI",1
"241","BGT",2,1,"FOR",1
"242","CAP",0,1,"CAM",1
"243","PAL",3,0,"BAH",1
"244","INT",2,1,"BOT",1
"245","CEA",1,2,"ACG",1
"246","GOI",0,0,"GRE",1
"247","FLA",4,1,"SAN",1
"248","COR",1,0,"SAO",1
"249","SPT",1,0,"CFC",1
"250","VAS",1,1,"FLU",1
"251","SAO",3,0,"CAM",1
"252","ACG",2,1,"FLU",1
"253","SPT",1,1,"GRE",1
"254","INT",2,0,"PAL",1
"255","CFC",1,2,"BOT",1
"256","VAS",1,0,"SAN",1
"257","BGT",0,1,"CAP",1
"258","FLA",4,3,"BAH",1
"259","FOR",0,2,"CEA",1
"260","COR",2,1,"GOI",1
"261","CAM",2,0,"CFC",1
"262","FOR",0,0,"FLA",1
"263","GOI",1,0,"SPT",1
"264","FLU",1,2,"SAO",0
"265","BOT",0,2,"COR",1
"266","BAH",1,2,"INT",1
"267","PAL",1,0,"BGT",1
"268","SAN",1,1,"CEA",1
"269","CAP",3,0,"VAS",1
"270","GRE",2,1,"ACG",1
"271","BOT",0,2,"CAP",1
"272","GRE",2,1,"BAH",1
"273","SPT",1,0,"FOR",1
"274","CFC",1,2,"GOI",1
"275","FLA",1,2,"FLU",1
"276","BGT",4,2,"SAO",1
"277","CEA",0,2,"INT",1
"278","ACG",0,0,"VAS",1
"279","PAL",4,0,"COR",1
"280","CAM",2,0,"SAN",1
"281","SPT",0,1,"PAL",1
"282","CFC",0,0,"CAP",1
"283","FOR",0,0,"GRE",1
"284","FLA",0,2,"CEA",1
"285","SAO",0,1,"SAN",1
"286","INT",1,0,"GOI",1
"287","ACG",1,1,"BAH",1
"288","VAS",3,0,"BOT",1
"289","BGT",2,2,"CAM",1
"290","COR",5,0,"FLU",1
"291","PAL",1,1,"GRE",1
"292","FLU",1,0,"SPT",0
"293","VAS",0,1,"CFC",1
"294","SAN",2,1,"BOT",1
"295","CAP",1,1,"SAO",1
"296","CAM",3,1,"ACG",1
"297","INT",4,2,"FOR",1
"298","CEA",1,2,"BGT",1
"299","GOI",0,3,"FLA",1
"300","BAH",2,1,"COR",1
"301","BOT",1,3,"ACG",1
"302","BAH",1,0,"CAP",1
"303","GRE",1,1,"CAM",1
"304","CFC",3,3,"FLU",1
"305","SAO",1,5,"INT",1
"306","BGT",4,1,"VAS",1
"307","FLA",2,0,"PAL",0
"308","FOR",2,0,"SAN",1
"309","GOI",0,4,"CEA",1
"310","COR",3,0,"SPT",1
"311","SAO",1,1,"CFC",1
"312","VAS",3,2,"CAM",1
"313","INT",2,1,"GRE",1
"314","CAP",2,1,"FLA",1
"315","CEA",2,1,"PAL",1
"316","SAN",3,4,"GOI",1
"317","SPT",2,0,"BAH",1
"318","ACG",2,0,"FOR",1
"319","FLU",2,0,"BOT",0
"320","COR",0,2,"BGT",1
"321","VAS",0,0,"BAH",1
"322","CFC",1,1,"GRE",1
"323","CEA",0,2,"CAP",1
"324","ACG",2,1,"SAO",1
"325","CAM",2,0,"FOR",1
"326","INT",2,1,"BGT",1
"327","FLU",3,0,"GOI",0
"328","SPT",0,3,"FLA",1
"329","PAL",1,1,"BOT",1
"330","SAN",1,0,"COR",1
"331","GRE",3,3,"SAN",1
"332","BGT",2,0,"ACG",1
"333","COR",2,1,"CEA",1
"334","BAH",0,1,"FLU",1
"335","GOI",1,0,"CAM",1
"336","FOR",3,1,"CFC",1
"337","FLA",2,0,"VAS",1
"338","CAP",0,0,"INT",1
"339","BOT",0,1,"SPT",1
"340","SAO",1,1,"PAL",1
"341","BAH",3,3,"GOI",1
"342","ACG",1,1,"SAN",1
"343","BGT",1,1,"FLA",1
"344","BOT",2,5,"GRE",1
"345","INT",1,2,"SPT",1
"346","FOR",3,0,"VAS",1
"347","SAO",1,1,"CEA",1
"348","FLU",0,0,"CAM",0
"349","COR",3,3,"CAP",1
"350","CFC",1,0,"PAL",1
"351","GOI",2,0,"BOT",1
"352","SAN",2,0,"CFC",1
"353","CAM",1,1,"BAH",1
"354","FLA",2,1,"COR",1
"355","VAS",0,2,"INT",1
"356","PAL",3,0,"FOR",1
"357","CAP",2,1,"ACG",1
"358","GRE",1,2,"SAO",1
"359","CEA",1,3,"FLU",1
"360","SPT",0,0,"BGT",1
"361","CFC",0,2,"CEA",1
"362","FOR",0,4,"BAH",1
"363","FLA",2,1,"INT",1
"364","COR",0,0,"VAS",1
"365","SPT",2,3,"CAM",1
"366","SAN",1,1,"FLU",1
"367","GRE",1,0,"CAP",1
"368","GOI",0,0,"BGT",1
"369","PAL",1,1,"ACG",1
"370","BOT",1,0,"SAO",1
"371","FLU",2,0,"FOR",0
"372","VAS",3,2,"GOI",1
"373","SAO",2,1,"FLA",1
"374","BGT",1,0,"GRE",1
"375","CAM",2,0,"PAL",1
"376","INT",0,0,"COR",1
"377","BAH",2,0,"SAN",1
"378","CAP",2,0,"SPT",1
"379","CEA",2,1,"BOT",1
"380","ACG",3,1,"CFC",1
